"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss","prob"
"331",0.16,0.31,0.41,0.56,0.98,0.3314,0.9932,-0.6164,-0.9644,-0.391,-0.9894,0.7406,0.6702,0.977,0.1438,0.9254,1.2032,-0.704,-0.6866,-1.0382,-0.1974,-0.9436,-1.1762,1.08384654990814e-19
"332",0.16,0.31,0.31,0.5924,0.968,0.384,1.0002,-0.5962,-0.9974,-0.3418,-0.998,0.7088,0.732,0.98,0.1702,0.8586,1.137,-0.7264,-0.7182,-0.9616,-0.167,-0.899,-1.1802,4.85570218783243e-15
"333",0.16,0.31,0.21,0.5732,0.9866,0.3622,1.0074,-0.6316,-0.9798,-0.2768,-1.0184,0.7284,0.7216,0.9766,0.1876,0.8872,1.1484,-0.74,-0.7034,-1.0316,-0.1586,-0.8996,-1.1542,0.00000000000190548110418162
"334",0.16,0.31,0.11,0.628,0.9932,0.319,1.0312,-0.5518,-1.0078,-0.3532,-0.9572,0.7468,0.7168,0.9466,0.2148,0.873,1.1484,-0.665,-0.7244,-0.914,-0.1758,-0.8778,-1.1974,0.0000000000239665874982794
"335",0.16,0.31,0.01,0.6534,0.9736,0.4078,1.0042,-0.5774,-0.9298,-0.3346,-1.0016,0.6826,0.7158,0.9656,0.2332,0.8406,1.1226,-0.7336,-0.782,-0.9642,-0.179,-0.8776,-1.1922,0.00000909367975934604
"336",0.16,0.21,0.41,0.6458,0.9374,0.309,0.9874,-0.571,-0.971,-0.355,-0.9912,0.7014,0.785,0.9086,0.2892,0.9264,1.1016,-0.7082,-0.6812,-0.9832,-0.198,-0.875,-1.1344,1.78136823105797e-21
"337",0.16,0.21,0.31,0.603,0.9914,0.3852,0.9956,-0.642,-0.9576,-0.372,-1.0112,0.6374,0.717,0.9484,0.1728,0.8696,1.1148,-0.7298,-0.7056,-0.9226,-0.1896,-0.8942,-1.1312,3.11853095311755e-15
"338",0.16,0.21,0.21,0.6242,0.9792,0.3628,0.9614,-0.5844,-0.9796,-0.3728,-0.9872,0.7522,0.78,0.9666,0.248,0.947,1.1564,-0.7932,-0.651,-0.9322,-0.1556,-0.868,-1.1422,0.0000000000051273088252973
"339",0.16,0.21,0.11,0.6214,0.9916,0.3396,0.957,-0.6036,-0.896,-0.3628,-0.9774,0.7552,0.709,0.9302,0.2442,0.8602,1.067,-0.6736,-0.679,-0.885,-0.2246,-0.8798,-1.1762,0.0000000000000316863533914391
"340",0.16,0.21,0.01,0.558,0.9772,0.3524,0.9636,-0.5866,-0.9656,-0.3062,-0.9362,0.6808,0.7046,0.9364,0.1842,0.9172,1.198,-0.6958,-0.7774,-0.9324,-0.1524,-0.8568,-1.1492,0.0000000000000154227695376028
"341",0.16,0.11,0.41,0.6006,0.893,0.3762,0.9274,-0.573,-1.0046,-0.3778,-0.9688,0.686,0.7582,0.9268,0.2018,0.8804,1.104,-0.6706,-0.6882,-0.898,-0.1938,-0.8246,-1.1764,7.27158760617494e-24
"342",0.16,0.11,0.31,0.575,0.9258,0.301,1.0202,-0.6364,-0.927,-0.3524,-1.0058,0.683,0.6726,0.912,0.2406,0.8708,1.1122,-0.6646,-0.7108,-0.8878,-0.1538,-0.942,-1.1642,9.76377790902298e-18
"343",0.16,0.11,0.21,0.6424,0.8894,0.2808,0.9888,-0.6592,-0.9348,-0.3344,-0.9734,0.756,0.7184,0.9184,0.2046,0.8334,1.1014,-0.7184,-0.7072,-0.8694,-0.1102,-0.8584,-1.1556,0.00000000233823322452629
