"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss","prob"
"392",0.11,0.11,0.31,0.5766,1.0064,0.3614,1.0438,-0.6376,-1.0016,-0.317,-0.9824,0.7178,0.7684,0.966,0.268,0.8322,1.1174,-0.6416,-0.7492,-1.0012,-0.188,-0.8122,-1.1316,1.54221351783826e-16
"393",0.11,0.11,0.21,0.5948,0.9418,0.3006,1.0042,-0.571,-1.012,-0.3632,-0.9952,0.698,0.7278,0.9494,0.2164,0.8884,1.1578,-0.693,-0.7154,-0.994,-0.242,-0.8532,-1.1024,3.14143153006352e-17
"394",0.11,0.11,0.11,0.5934,0.96,0.3148,0.9034,-0.618,-0.9006,-0.3252,-0.999,0.72,0.6496,0.9778,0.2348,0.8604,1.1324,-0.693,-0.7722,-0.9222,-0.2084,-0.9214,-1.1512,0.0000000000000912817439938639
"395",0.11,0.11,0.01,0.5982,0.973,0.3414,0.994,-0.6152,-0.988,-0.3388,-1.0492,0.6544,0.6638,0.9346,0.265,0.895,1.1678,-0.7838,-0.7622,-0.9336,-0.1914,-0.8754,-1.12,0.000000000492207437908364
"396",0.11,0.01,0.41,0.6682,0.9468,0.3164,1.02,-0.5722,-0.9064,-0.3536,-1.0182,0.721,0.7266,0.9204,0.2362,0.9036,1.1524,-0.6526,-0.7208,-0.9308,-0.223,-0.8682,-1.1256,3.68794659088042e-20
"397",0.11,0.01,0.31,0.554,0.899,0.3032,1.025,-0.6002,-0.9684,-0.3334,-0.9976,0.6982,0.7752,0.9198,0.1948,0.8158,1.1216,-0.6954,-0.7286,-0.914,-0.2482,-0.8604,-1.186,1.21403150640149e-19
"398",0.11,0.01,0.21,0.597,0.9392,0.3536,0.9248,-0.61,-0.9446,-0.3326,-0.9768,0.6776,0.659,0.9012,0.198,0.8194,1.1464,-0.7286,-0.7238,-0.9496,-0.1648,-0.8998,-1.1394,7.93533142862317e-16
"399",0.11,0.01,0.11,0.5898,0.9528,0.3462,0.9882,-0.561,-0.887,-0.3256,-0.9656,0.746,0.6776,0.9486,0.2018,0.8106,1.1526,-0.7364,-0.681,-0.9572,-0.2064,-0.8578,-1.1204,0.00000000896406209398991
"400",0.11,0.01,0.01,0.6236,0.9248,0.3816,1.0232,-0.5874,-0.9118,-0.3442,-0.9164,0.7254,0.7106,0.959,0.1934,0.875,1.1378,-0.6952,-0.7334,-0.9684,-0.164,-0.8856,-1.152,0.000000000177939113936201
"401",0.06,0.91,0.41,0.576,0.99,0.353,1.0158,-0.5836,-1.0492,-0.3498,-1.0124,0.718,0.6594,1.1574,0.2366,0.9416,1.1936,-0.7562,-0.7452,-1.1166,-0.1686,-0.9514,-1.1546,5.42306522345415e-24
"402",0.06,0.91,0.31,0.5908,1.0064,0.3466,1.0192,-0.5918,-0.9874,-0.3326,-1.0104,0.7974,0.7706,1.1418,0.243,0.9436,1.1548,-0.7434,-0.6994,-1.1424,-0.1474,-0.882,-1.2202,1.1193183036919e-16
"403",0.06,0.91,0.21,0.5286,1.066,0.2986,1.0276,-0.6052,-1.0678,-0.3796,-1.0196,0.7612,0.7248,1.0968,0.2054,0.8968,1.2536,-0.764,-0.7156,-1.1636,-0.1422,-0.9816,-1.118,0.000000000000298100508201131
"404",0.06,0.91,0.11,0.557,1.016,0.2934,1.0732,-0.5628,-1.0302,-0.3618,-1.0206,0.7586,0.7122,1.133,0.2436,0.8352,1.2334,-0.7478,-0.744,-1.1026,-0.1846,-0.9278,-1.1584,0.0000000000000228088154145085
"405",0.06,0.91,0.01,0.5384,1.024,0.3682,1.0176,-0.6088,-0.9868,-0.3712,-1.0432,0.7898,0.7338,1.1148,0.1902,0.939,1.2376,-0.7986,-0.7258,-1.1514,-0.2656,-0.9478,-1.1606,0.000000330871266092303
"406",0.06,0.81,0.41,0.5732,1.0206,0.3284,0.962,-0.5574,-0.9794,-0.296,-1.0084,0.747,0.7362,1.1184,0.1544,0.9492,1.1556,-0.738,-0.742,-1.0738,-0.1942,-0.971,-1.1496,6.18519975734636e-21
"407",0.06,0.81,0.31,0.5728,1.0042,0.3496,1.0348,-0.562,-1.0736,-0.3464,-0.977,0.6864,0.6888,1.0776,0.2316,0.8862,1.121,-0.7566,-0.7702,-1.0656,-0.1488,-0.9212,-1.2254,3.35832242201058e-18
"408",0.06,0.81,0.21,0.5508,1.0382,0.3624,0.9464,-0.545,-0.9848,-0.2878,-1.006,0.7406,0.729,1.1274,0.23,0.9358,1.158,-0.7494,-0.7736,-1.095,-0.144,-0.8824,-1.1518,0.00000000000107838579848547
"409",0.06,0.81,0.11,0.6266,1.0154,0.3586,1.045,-0.5994,-0.9522,-0.3664,-1.076,0.7086,0.7062,1.1198,0.223,0.8674,1.1866,-0.7158,-0.7322,-1.0992,-0.262,-0.8682,-1.159,0.000390864110295805
"410",0.06,0.81,0.01,0.5534,0.9664,0.2916,1.0402,-0.5664,-0.9798,-0.3606,-1.0136,0.7354,0.6764,1.0864,0.2296,0.895,1.1372,-0.7364,-0.7324,-1.0718,-0.2018,-0.9472,-1.1842,0.00000648665262303806
"411",0.06,0.71,0.41,0.5452,1.0064,0.33,1.0662,-0.5598,-0.978,-0.356,-1.0318,0.7328,0.7588,1.0352,0.2104,0.882,1.2244,-0.7326,-0.7578,-1.0776,-0.2312,-0.8816,-1.2004,3.52731420082369e-19
"412",0.06,0.71,0.31,0.548,1.0314,0.2032,1.0098,-0.61,-0.9866,-0.3514,-0.9828,0.6918,0.7008,1.1114,0.1586,0.886,1.2144,-0.7512,-0.7352,-1.1238,-0.2226,-0.9072,-1.1782,0.000000000000012112961692571
"413",0.06,0.71,0.21,0.623,1.0758,0.4034,1.0316,-0.5618,-1.0194,-0.3724,-0.9876,0.7798,0.7486,1.1612,0.1634,0.8896,1.2332,-0.684,-0.715,-1.1844,-0.1594,-0.8724,-1.157,5.3712732696162e-16
"414",0.06,0.71,0.11,0.5454,1.0778,0.3798,1.0746,-0.5934,-1.0328,-0.3252,-1.0834,0.763,0.7126,1.091,0.2094,0.8258,1.169,-0.6948,-0.7774,-1.1172,-0.1924,-0.9178,-1.2162,0.0000000455804393104178
"415",0.06,0.71,0.01,0.5448,1.0446,0.3344,0.9778,-0.6218,-1.0226,-0.2862,-1.0422,0.7858,0.7056,1.103,0.191,0.9136,1.1884,-0.7348,-0.7382,-1.1624,-0.1892,-0.8728,-1.167,0.000000000483147883953216
"416",0.06,0.61,0.41,0.6026,1.0272,0.4216,1.01,-0.5332,-1.0086,-0.3986,-1.0336,0.7014,0.7624,1.108,0.2192,0.8932,1.179,-0.7452,-0.7532,-1.1238,-0.1914,-0.92,-1.1722,8.46547370085949e-21
"417",0.06,0.61,0.31,0.6018,0.9796,0.3866,0.9896,-0.6146,-1.05,-0.3582,-1.1012,0.7262,0.7792,1.0882,0.1682,0.9704,1.2058,-0.761,-0.7548,-1.0928,-0.1364,-0.9036,-1.2338,0.000000000000424813194686026
"418",0.06,0.61,0.21,0.4862,1.011,0.322,1.0436,-0.5994,-0.9956,-0.3998,-0.9688,0.7414,0.6798,1.0996,0.2364,0.8926,1.147,-0.6898,-0.7148,-1.1264,-0.109,-0.8552,-1.1326,3.60233827630581e-15
"419",0.06,0.61,0.11,0.5574,0.9982,0.3426,1.0856,-0.5216,-1.0342,-0.3064,-1.0134,0.7396,0.737,1.0978,0.1414,0.908,1.2444,-0.7774,-0.6814,-1.08,-0.1866,-0.8742,-1.2364,0.000000000283584367000694
"420",0.06,0.61,0.01,0.5708,1.0164,0.3348,1.0414,-0.5228,-1.0132,-0.3684,-1.0148,0.7638,0.7384,1.0688,0.2314,0.937,1.1672,-0.818,-0.7268,-1.1172,-0.185,-0.884,-1.1632,0.0294301413649087
"421",0.06,0.51,0.41,0.5772,1.0214,0.3342,1.0322,-0.6062,-1.0504,-0.3562,-1.0788,0.7552,0.7012,1.0472,0.2024,0.8692,1.1496,-0.6842,-0.7074,-1.0888,-0.104,-0.9712,-1.1728,2.71612233941017e-22
"422",0.06,0.51,0.31,0.6278,1.0118,0.303,1.009,-0.6094,-0.9732,-0.441,-1.024,0.6984,0.7946,1.0876,0.1716,0.8868,1.241,-0.6618,-0.754,-1.1256,-0.1442,-0.9142,-1.1396,0.000000000000492216744163739
"423",0.06,0.51,0.21,0.5548,0.9878,0.4284,0.975,-0.5994,-1.0052,-0.3166,-0.9944,0.6836,0.7324,1.0816,0.158,0.8604,1.1614,-0.7396,-0.7184,-1.0398,-0.2182,-0.9192,-1.218,0.00000000000683731562383402
"424",0.06,0.51,0.11,0.539,0.991,0.3352,1.0264,-0.5202,-1.035,-0.3468,-1.0264,0.6968,0.6866,1.1254,0.1416,0.8894,1.1948,-0.7308,-0.7434,-1.0506,-0.2206,-0.9148,-1.1976,0.00000000367498213769424
"425",0.06,0.51,0.01,0.6104,1.0122,0.3326,0.9762,-0.636,-1.0726,-0.2836,-1.0038,0.7226,0.7528,1.1204,0.0814,0.9262,1.1464,-0.7208,-0.729,-1.1184,-0.238,-0.9434,-1.1444,0.0000170018811129644
"426",0.06,0.41,0.41,0.5462,0.9666,0.3654,1.008,-0.5894,-1.0256,-0.4742,-0.9824,0.6758,0.723,1.1136,0.195,0.9632,1.1966,-0.7166,-0.6988,-1.067,-0.2412,-0.9272,-1.1832,2.72234009720723e-22
"427",0.06,0.41,0.31,0.5354,1.0076,0.3572,1.0226,-0.585,-0.987,-0.3198,-1.0364,0.7482,0.7054,1.1116,0.2764,0.8926,1.185,-0.7956,-0.7746,-1.068,-0.1558,-0.9612,-1.1498,5.98276771080839e-16
"428",0.06,0.41,0.21,0.561,0.99,0.347,1.023,-0.5478,-0.9902,-0.3364,-1.0062,0.7476,0.7998,1.1026,0.1282,0.9118,1.227,-0.7218,-0.7116,-1.1226,-0.2218,-0.9464,-1.143,0.00000000113099326228085
"429",0.06,0.41,0.11,0.5926,0.9962,0.3278,1.0218,-0.605,-0.9828,-0.3174,-1.0672,0.804,0.7348,1.062,0.1528,0.8894,1.12,-0.6818,-0.7452,-1.1068,-0.2152,-0.9074,-1.1616,0.00000020061312495875
"430",0.06,0.41,0.01,0.5564,1.0324,0.3182,1.037,-0.53,-0.9966,-0.3206,-1.0208,0.727,0.6992,1.0282,0.224,0.8874,1.2316,-0.7466,-0.757,-1.1392,-0.1972,-0.9016,-1.1824,0.000000577077961800061
"431",0.06,0.31,0.41,0.6082,0.9514,0.3364,0.9972,-0.612,-1.0318,-0.3454,-1.0056,0.7184,0.7804,1.1022,0.1682,0.8198,1.1786,-0.8052,-0.7364,-1.1558,-0.1354,-0.941,-1.1594,5.10511352143766e-23
"432",0.06,0.31,0.31,0.5784,1.0336,0.3448,1.0162,-0.5366,-1.0036,-0.4028,-0.9808,0.7522,0.6576,1.0596,0.184,0.846,1.1738,-0.8178,-0.7442,-1.109,-0.1878,-0.8802,-1.153,1.17749480257212e-18
"433",0.06,0.31,0.21,0.69,0.9326,0.362,0.9936,-0.5844,-0.9968,-0.3146,-1.0398,0.6792,0.717,1.0564,0.1972,0.8424,1.1934,-0.756,-0.7288,-1.0158,-0.153,-0.821,-1.1234,0.000000000000060688213349042
"434",0.06,0.31,0.11,0.5834,1.0186,0.3196,1.0522,-0.6266,-1.0156,-0.344,-0.9994,0.7462,0.7182,1.0828,0.152,0.9654,1.2242,-0.7036,-0.7212,-1.0924,-0.2028,-0.873,-1.222,0.000000000442168937255297
"435",0.06,0.31,0.01,0.6362,1.0038,0.2834,0.9974,-0.6162,-1.0168,-0.3516,-1.043,0.7314,0.6846,1.021,0.1336,0.8562,1.1936,-0.802,-0.7182,-1.0502,-0.2346,-0.8622,-1.1848,0.0239860036860853
"436",0.06,0.21,0.41,0.597,0.9882,0.3654,0.9838,-0.593,-0.9906,-0.4036,-1.0368,0.6888,0.7164,1.0358,0.2312,0.8846,1.181,-0.7614,-0.7404,-1.0726,-0.1354,-0.9366,-1.1894,1.10983930954504e-22
"437",0.06,0.21,0.31,0.559,1.045,0.3512,0.975,-0.6108,-0.935,-0.3542,-1.0222,0.7872,0.7614,0.99,0.1886,0.916,1.1576,-0.7186,-0.6532,-1.0086,-0.187,-0.8928,-1.1752,2.43080298037232e-15
"438",0.06,0.21,0.21,0.5422,1.0348,0.3268,0.9844,-0.6014,-0.9732,-0.3528,-0.9948,0.691,0.7166,1.0736,0.1722,0.8712,1.2092,-0.7508,-0.7126,-1.0906,-0.1918,-0.903,-1.184,0.0000000000000349323665725925
"439",0.06,0.21,0.11,0.6006,0.976,0.359,0.9724,-0.5808,-0.9994,-0.2596,-1.0188,0.6902,0.721,1.0576,0.1428,0.927,1.214,-0.6746,-0.6756,-1.016,-0.1492,-0.8968,-1.1228,0.00000017030353617674
"440",0.06,0.21,0.01,0.6374,1.0142,0.3364,1.012,-0.6102,-0.939,-0.4052,-0.9736,0.6534,0.7134,1.1242,0.1968,0.9136,1.2144,-0.662,-0.7506,-1.0674,-0.2044,-0.9124,-1.1892,0.000119415415342862
"441",0.06,0.11,0.41,0.6042,1.0382,0.363,1.0382,-0.569,-0.9298,-0.3406,-1.0054,0.6928,0.7886,1.0264,0.2016,0.8458,1.1674,-0.8066,-0.682,-1.0386,-0.2596,-0.9298,-1.1514,1.21253795470179e-21
"442",0.06,0.11,0.31,0.5952,0.9336,0.2378,1.0006,-0.6542,-0.9484,-0.3708,-1.0462,0.7204,0.7128,1.0878,0.2282,0.8606,1.1578,-0.7502,-0.718,-0.9932,-0.1682,-0.9018,-1.23,0.0000000000000264648622858607
"443",0.06,0.11,0.21,0.629,0.9588,0.3794,1.0078,-0.6124,-1.0072,-0.4114,-1.0344,0.7776,0.701,1.0794,0.1684,0.8766,1.1826,-0.678,-0.7104,-1.0068,-0.2108,-0.8452,-1.194,4.92252435087822e-15
"444",0.06,0.11,0.11,0.5092,0.9938,0.3248,0.9662,-0.6046,-0.9286,-0.2872,-1.0204,0.7152,0.7236,1.0294,0.1902,0.9134,1.173,-0.703,-0.6942,-1.0456,-0.191,-0.9204,-1.1582,0.0000000000120042534122607
"445",0.06,0.11,0.01,0.5586,1.017,0.3554,1.0264,-0.5922,-0.9974,-0.243,-0.996,0.7452,0.6832,1.085,0.1642,0.9014,1.1292,-0.7158,-0.7082,-1.0182,-0.1378,-0.965,-1.18,3.11207454225508e-15
"446",0.06,0.01,0.41,0.6004,0.9756,0.306,0.994,-0.5936,-0.9686,-0.287,-1.0264,0.6486,0.7026,1.031,0.157,0.9514,1.2024,-0.7974,-0.7294,-1.084,-0.1848,-0.8984,-1.1876,2.60828213440204e-23
"447",0.06,0.01,0.31,0.5834,0.9874,0.332,0.9952,-0.59,-0.9602,-0.3112,-1.0024,0.7332,0.6756,0.977,0.1692,0.8706,1.2068,-0.737,-0.7598,-1.0154,-0.1796,-0.8796,-1.1682,7.76409951425026e-18
"448",0.06,0.01,0.21,0.5926,0.9958,0.3014,1.0308,-0.5806,-0.93,-0.377,-1.0396,0.728,0.682,0.9522,0.211,0.9324,1.1744,-0.723,-0.742,-1.0334,-0.2232,-0.8834,-1.1904,7.74560782735212e-17
"449",0.06,0.01,0.11,0.5682,0.9058,0.285,1.0336,-0.5932,-0.9646,-0.2848,-0.9862,0.699,0.782,0.9796,0.181,0.8396,1.241,-0.732,-0.6934,-1.0102,-0.1452,-0.903,-1.1406,0.00000000332535755887383
"450",0.06,0.01,0.01,0.5238,0.958,0.3718,0.9876,-0.551,-0.939,-0.3208,-0.9242,0.6772,0.6868,1.0156,0.2236,0.9152,1.111,-0.699,-0.6984,-1.0092,-0.23,-0.8512,-1.1408,0.0000000000431637996582856
"451",0.01,0.91,0.41,0.5328,1.0206,0.3548,1.035,-0.5738,-1.0066,-0.3708,-1.038,0.7552,0.7042,1.094,0.1998,0.8744,1.1534,-0.6528,-0.8086,-1.065,-0.176,-0.893,-1.1682,6.3900137785096e-23
"452",0.01,0.91,0.31,0.56,1.0962,0.3342,1.0576,-0.5624,-1.0906,-0.3378,-1.0562,0.723,0.6846,1.1276,0.239,0.8914,1.111,-0.6472,-0.7506,-1.1526,-0.1468,-0.9378,-1.2192,2.30420832687346e-19
"453",0.01,0.91,0.21,0.6392,1.083,0.3128,1.0552,-0.484,-1.021,-0.2766,-1.078,0.7426,0.7434,1.1268,0.1224,0.9682,1.2108,-0.7438,-0.7644,-1.1556,-0.1792,-0.9068,-1.1352,0.000000000617378992388468
"454",0.01,0.91,0.11,0.5632,1.0584,0.2914,1.0368,-0.585,-1.046,-0.3144,-1.013,0.6638,0.656,1.1076,0.2146,0.9176,1.1752,-0.7474,-0.7258,-1.0708,-0.132,-0.9022,-1.1416,7.49604566717032e-18
"455",0.01,0.91,0.01,0.5624,1.007,0.2966,1.066,-0.5826,-1.0418,-0.304,-1.0464,0.6924,0.7364,1.1194,0.2484,0.89,1.2236,-0.8016,-0.7524,-1.0604,-0.222,-0.8256,-1.1936,0.00000000852123599214952
"456",0.01,0.81,0.41,0.5442,0.9802,0.2952,1.0716,-0.5578,-1.049,-0.3814,-1.0094,0.7134,0.7422,1.1226,0.171,0.9258,1.1836,-0.6804,-0.7424,-1.134,-0.162,-0.9628,-1.1406,1.81769545870972e-19
"457",0.01,0.81,0.31,0.584,1.038,0.3892,1.0478,-0.59,-1.043,-0.317,-1.0334,0.7072,0.7364,1.1668,0.208,0.9228,1.234,-0.7898,-0.7566,-1.1034,-0.167,-0.9062,-1.146,7.86052217493404e-17
"458",0.01,0.81,0.21,0.5858,1.0272,0.3876,1.0058,-0.5108,-1.018,-0.3606,-1.0134,0.7032,0.8044,1.1836,0.2296,0.955,1.201,-0.6588,-0.7128,-1.0856,-0.2602,-0.989,-1.1416,0.00000000597925522082279
"459",0.01,0.81,0.11,0.5566,1.0174,0.338,1.027,-0.5322,-1.0564,-0.3098,-1.0462,0.7592,0.7332,1.1392,0.301,0.8972,1.2462,-0.7598,-0.7128,-1.1062,-0.199,-0.922,-1.1894,0.000000000825105988523875
"460",0.01,0.81,0.01,0.6094,1.0064,0.3322,1.023,-0.5792,-1.0138,-0.2922,-1.0016,0.759,0.7408,1.1696,0.2556,0.9802,1.2232,-0.7024,-0.6894,-1.1028,-0.2156,-0.8626,-1.1662,0.00000000643941114996210
"461",0.01,0.71,0.41,0.6062,1.058,0.3216,1.0104,-0.6234,-1.0462,-0.3652,-1.059,0.72,0.7756,1.1296,0.179,0.9522,1.2096,-0.7146,-0.7798,-1.1048,-0.165,-0.987,-1.207,1.28830033780552e-21
"462",0.01,0.71,0.31,0.4844,0.9872,0.4116,1.0612,-0.5952,-1.066,-0.3458,-1.0368,0.6794,0.8176,1.1522,0.2064,0.895,1.191,-0.7356,-0.7206,-1.0772,-0.2382,-0.8518,-1.2462,2.73348138245618e-18
"463",0.01,0.71,0.21,0.5632,0.9992,0.3436,0.9666,-0.5388,-1.0108,-0.366,-0.997,0.7116,0.6998,1.1284,0.1404,0.923,1.1618,-0.6552,-0.7298,-1.0726,-0.1884,-0.8948,-1.167,0.00000000000323233064195891
"464",0.01,0.71,0.11,0.5208,0.986,0.3294,1.0176,-0.5684,-1.03,-0.3436,-1.033,0.7016,0.6872,1.0798,0.2174,0.8166,1.2262,-0.717,-0.755,-1.0568,-0.208,-0.9696,-1.187,0.00000000126228728155938
"465",0.01,0.71,0.01,0.5514,1.0902,0.3234,1.0262,-0.6198,-1.0274,-0.3434,-1.0764,0.7458,0.7184,1.1172,0.1652,0.888,1.0988,-0.7284,-0.7836,-1.1408,-0.179,-0.961,-1.1756,0.0000135750309461007
"466",0.01,0.61,0.41,0.5392,1.0358,0.3278,1.0652,-0.6092,-1.0638,-0.3542,-1.0196,0.7102,0.7066,1.0752,0.1922,0.8684,1.2008,-0.718,-0.7412,-1.075,-0.21,-0.9346,-1.1712,5.04553981861899e-22
"467",0.01,0.61,0.31,0.5248,1.0638,0.343,1.0178,-0.5788,-1.0156,-0.353,-1.034,0.7486,0.7248,1.0766,0.1618,0.9626,1.214,-0.7066,-0.767,-1.0946,-0.2254,-0.847,-1.2244,6.70014356423873e-17
"468",0.01,0.61,0.21,0.5348,1.0066,0.4068,1.0074,-0.5958,-1.0244,-0.295,-1.049,0.7396,0.6672,1.1048,0.2198,0.9674,1.1824,-0.7476,-0.7796,-1.0762,-0.244,-0.8784,-1.247,3.26224711257918e-16
"469",0.01,0.61,0.11,0.5652,1.0424,0.3522,1.0524,-0.5342,-1.009,-0.351,-1.0314,0.8472,0.6948,1.0904,0.1412,0.8858,1.1556,-0.7252,-0.7098,-1.0976,-0.2228,-0.9352,-1.2168,0.000000000227806686667334
"470",0.01,0.61,0.01,0.573,1.0516,0.2844,1.0038,-0.5748,-1.0398,-0.356,-1.0538,0.7486,0.7452,1.1228,0.2036,0.9554,1.1784,-0.7248,-0.7422,-1.1238,-0.1418,-0.8974,-1.1796,0.000000305973911893751
"471",0.01,0.51,0.41,0.5812,0.9488,0.3656,1.015,-0.5508,-0.997,-0.339,-1.0914,0.708,0.7566,1.1304,0.2192,0.8672,1.273,-0.712,-0.7438,-1.0716,-0.1472,-0.9866,-1.237,8.23639724594131e-23
"472",0.01,0.51,0.31,0.5824,1.0944,0.3688,0.9988,-0.5668,-1.0396,-0.4446,-1.0062,0.73,0.7886,1.1084,0.2364,0.914,1.2126,-0.6822,-0.7982,-1.1298,-0.168,-0.929,-1.1908,3.6997127569114e-21
"473",0.01,0.51,0.21,0.605,0.9842,0.3356,1.0062,-0.5016,-0.9862,-0.2808,-1.0616,0.7586,0.6906,1.0424,0.1366,0.8408,1.2238,-0.6868,-0.7622,-1.1484,-0.2204,-0.9406,-1.1932,1.77726671970628e-15
"474",0.01,0.51,0.11,0.567,1.026,0.3794,1.0622,-0.562,-1.0322,-0.3956,-0.9928,0.741,0.7304,1.0752,0.2804,0.9182,1.159,-0.7298,-0.75,-1.1294,-0.1348,-0.9158,-1.1838,0.000356593186388351
"475",0.01,0.51,0.01,0.5778,1.0312,0.3696,1.035,-0.6422,-0.9952,-0.3538,-0.982,0.7234,0.7966,1.129,0.2196,0.9346,1.165,-0.702,-0.7324,-1.0708,-0.191,-0.9222,-1.1824,0.0000134553551418561
"476",0.01,0.41,0.41,0.5742,1.0538,0.363,1.0076,-0.5488,-1.0558,-0.3608,-1.0362,0.7388,0.7182,1.1808,0.183,0.8828,1.1918,-0.7444,-0.7118,-1.149,-0.1764,-0.927,-1.1856,4.6318941509599e-24
"477",0.01,0.41,0.31,0.6712,1.0022,0.2768,1.0984,-0.6462,-1.032,-0.365,-1.028,0.7354,0.7268,1.1236,0.243,0.9062,1.2852,-0.7148,-0.7388,-1.0844,-0.208,-0.9312,-1.1852,9.17888032641274e-15
"478",0.01,0.41,0.21,0.5814,0.9994,0.3644,1.043,-0.5168,-1.0366,-0.3652,-1.0454,0.666,0.7714,1.122,0.2012,0.9248,1.194,-0.7844,-0.6668,-1.1016,-0.21,-0.8862,-1.1644,0.0000000000000140363689936197
"479",0.01,0.41,0.11,0.528,1,0.3542,1.0228,-0.6186,-1.066,-0.3478,-0.9754,0.739,0.6562,1.0624,0.2208,0.8988,1.1978,-0.7568,-0.6748,-1.1116,-0.165,-0.847,-1.1748,0.000000000000618910533064622
"480",0.01,0.41,0.01,0.6014,1.0058,0.369,1.0074,-0.6346,-1.0362,-0.3826,-1.0658,0.776,0.694,1.1866,0.2478,0.8894,1.2178,-0.7364,-0.7684,-1.0792,-0.157,-0.9386,-1.1622,0.00000110347509081443
"481",0.01,0.31,0.41,0.6476,0.9388,0.3288,1.03,-0.5614,-1.0082,-0.3022,-0.9686,0.7222,0.7104,1.0812,0.2466,0.957,1.153,-0.7344,-0.734,-1.037,-0.1974,-0.9418,-1.221,3.16388172003587e-23
"482",0.01,0.31,0.31,0.5434,1.0038,0.3608,1.0306,-0.6208,-0.9876,-0.3906,-1.0776,0.7228,0.7012,1.157,0.2028,0.9852,1.1966,-0.7456,-0.7212,-1.0882,-0.1986,-0.9112,-1.1934,1.79879670206724e-19
"483",0.01,0.31,0.21,0.5704,0.972,0.327,1.0574,-0.5572,-0.9784,-0.4122,-1.0168,0.6788,0.7964,1.1548,0.205,0.947,1.1696,-0.7236,-0.81,-1.1438,-0.1984,-0.9252,-1.1644,0.00000000119866073722568
"484",0.01,0.31,0.11,0.6338,0.9748,0.327,1.0538,-0.5052,-1.0136,-0.3554,-1.0294,0.6856,0.6764,1.139,0.155,0.8696,1.2268,-0.7338,-0.7638,-1.084,-0.2098,-0.8424,-1.2296,0.00000000000153521640436224
"485",0.01,0.31,0.01,0.6228,1.0682,0.331,1.012,-0.5938,-1.0316,-0.3008,-0.9922,0.7144,0.7194,1.1114,0.2884,0.868,1.192,-0.7796,-0.8324,-1.078,-0.1922,-0.8826,-1.2164,0.000000902289980944729
"486",0.01,0.21,0.41,0.5908,1.0278,0.341,1.0462,-0.6036,-1.0704,-0.3808,-1.078,0.7066,0.6902,1.097,0.2102,0.9836,1.2072,-0.7396,-0.7168,-1.0934,-0.2134,-0.858,-1.2614,8.96034333001398e-24
"487",0.01,0.21,0.31,0.59,1.0652,0.3066,1.0704,-0.5804,-1.012,-0.3684,-0.9854,0.7114,0.81,1.0746,0.1872,0.9172,1.1846,-0.7214,-0.6702,-1.0764,-0.1946,-0.887,-1.201,9.16889837941568e-19
"488",0.01,0.21,0.21,0.5458,1.0396,0.3504,1.1134,-0.6038,-1.0544,-0.332,-1.0918,0.725,0.7208,1.0582,0.266,0.9238,1.2108,-0.7922,-0.769,-1.0912,-0.2292,-0.9396,-1.1594,0.000000000000737501382271004
"489",0.01,0.21,0.11,0.6258,1.0364,0.3666,1.0798,-0.5316,-1.058,-0.3008,-1.0362,0.712,0.773,1.0866,0.2032,0.9194,1.1858,-0.6456,-0.6808,-1.1016,-0.2408,-0.9102,-1.177,0.0000000124221266489026
"490",0.01,0.21,0.01,0.5878,1.0256,0.3286,1.0264,-0.5704,-1.003,-0.3662,-0.9946,0.7596,0.7536,1.0506,0.2584,0.928,1.1284,-0.6824,-0.6722,-1.0932,-0.2284,-0.8564,-1.1942,0.000000000148492021084988
"491",0.01,0.11,0.41,0.5294,0.964,0.3584,1.0266,-0.5374,-1.009,-0.313,-1.0468,0.8224,0.6948,1.1064,0.1978,0.9024,1.1662,-0.7082,-0.7248,-1.0788,-0.22,-0.929,-1.246,2.64821870169816e-19
"492",0.01,0.11,0.31,0.672,1.029,0.3154,1.073,-0.5504,-0.9606,-0.259,-1.0726,0.7384,0.7194,1.1268,0.1706,0.8034,1.2336,-0.7604,-0.6774,-1.0854,-0.1744,-0.939,-1.175,0.00000000000010087928296783
"493",0.01,0.11,0.21,0.5694,0.9844,0.3412,0.9732,-0.5642,-0.9784,-0.3452,-1.0312,0.7828,0.6634,1.0836,0.2152,0.9094,1.1714,-0.7158,-0.7198,-1.1254,-0.2508,-0.8952,-1.203,0.000000000000436016272308894
"494",0.01,0.11,0.11,0.5788,0.987,0.358,1.049,-0.5666,-0.973,-0.3322,-1.0792,0.7712,0.804,1.1348,0.1972,0.8842,1.1766,-0.7358,-0.7516,-1.1104,-0.1592,-0.8582,-1.2124,0.00000000328943211617398
