"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss"
"8.46",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.47",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.48",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"12",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.110",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.26",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.31",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.41",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.51",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.6",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.7",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.8",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.9",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.10",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.11",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.12",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.13",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.14",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.15",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.16",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.17",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.18",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.19",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.20",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.21",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.22",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.23",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.24",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"1.25",0.00456474612309443,0.079354682320263,0.26954866705928,2.8038,3.196,2.5262,3.2769,1.625,1.2147,1.9026,1.1911,2.9093,2.9753,3.252,2.3946,3.132,3.3675,1.468,1.494,1.2209,1.9503,1.3243,1.0682
"21",0.00456474612309443,0.079354682320263,0.238163360510953,2.7313,3.1943,2.5554,3.2187,1.6458,1.2292,1.8546,1.1969,2.922,2.9909,3.2781,2.4118,3.0819,3.3646,1.4676,1.5336,1.1723,2.0119,1.3373,1.0905
"2.11",0.00456474612309443,0.079354682320263,0.238163360510953,2.7313,3.1943,2.5554,3.2187,1.6458,1.2292,1.8546,1.1969,2.922,2.9909,3.2781,2.4118,3.0819,3.3646,1.4676,1.5336,1.1723,2.0119,1.3373,1.0905
"31",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.11",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.21",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.31",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.41",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.5",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.6",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.7",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.8",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.9",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"3.10",0.00456474612309443,0.165046358908144,0.238163360510953,2.75,3.1889,2.5317,3.2411,1.6194,1.2369,1.8217,1.1963,2.9737,2.9622,3.2567,2.3927,3.1391,3.3672,1.4772,1.5545,1.2127,2.0101,1.3479,1.0973
"41",0.00456474612309443,0.224411135826808,0.238163360510953,2.6997,3.2747,2.5049,3.1877,1.6041,1.2387,1.8619,1.1998,2.9451,2.917,3.2828,2.4045,3.1254,3.3642,1.4567,1.4788,1.2039,2.0342,1.3758,1.077
"51",0.00456474612309443,0.160758418690962,0.238163360510953,2.6807,3.2172,2.5284,3.2054,1.6318,1.2437,1.8519,1.1913,2.9306,2.9684,3.2594,2.3255,3.0802,3.37,1.5151,1.5031,1.2253,1.9924,1.3235,1.1183
"5.11",0.00456474612309443,0.160758418690962,0.238163360510953,2.6807,3.2172,2.5284,3.2054,1.6318,1.2437,1.8519,1.1913,2.9306,2.9684,3.2594,2.3255,3.0802,3.37,1.5151,1.5031,1.2253,1.9924,1.3235,1.1183
"5.21",0.00456474612309443,0.160758418690962,0.238163360510953,2.6807,3.2172,2.5284,3.2054,1.6318,1.2437,1.8519,1.1913,2.9306,2.9684,3.2594,2.3255,3.0802,3.37,1.5151,1.5031,1.2253,1.9924,1.3235,1.1183
"5.31",0.00456474612309443,0.160758418690962,0.238163360510953,2.6807,3.2172,2.5284,3.2054,1.6318,1.2437,1.8519,1.1913,2.9306,2.9684,3.2594,2.3255,3.0802,3.37,1.5151,1.5031,1.2253,1.9924,1.3235,1.1183
"61",0.00456474612309443,0.160758418690962,0.189901443640702,2.7804,3.1926,2.5208,3.2262,1.6414,1.2099,1.887,1.1963,2.968,2.9454,3.2647,2.4101,3.0945,3.3576,1.4917,1.5349,1.2259,1.9938,1.4008,1.0478
"6.11",0.00456474612309443,0.160758418690962,0.189901443640702,2.7804,3.1926,2.5208,3.2262,1.6414,1.2099,1.887,1.1963,2.968,2.9454,3.2647,2.4101,3.0945,3.3576,1.4917,1.5349,1.2259,1.9938,1.4008,1.0478
"6.21",0.00456474612309443,0.160758418690962,0.189901443640702,2.7804,3.1926,2.5208,3.2262,1.6414,1.2099,1.887,1.1963,2.968,2.9454,3.2647,2.4101,3.0945,3.3576,1.4917,1.5349,1.2259,1.9938,1.4008,1.0478
"71",0.00456474612309443,0.254009405345273,0.189901443640702,2.7718,3.2036,2.5713,3.2386,1.6551,1.2545,1.8791,1.1959,2.9324,2.9436,3.2744,2.3891,3.0983,3.3575,1.5219,1.486,1.1439,2.0156,1.352,1.0949
"7.12",0.00456474612309443,0.254009405345273,0.189901443640702,2.7718,3.2036,2.5713,3.2386,1.6551,1.2545,1.8791,1.1959,2.9324,2.9436,3.2744,2.3891,3.0983,3.3575,1.5219,1.486,1.1439,2.0156,1.352,1.0949
"7.21",0.00456474612309443,0.254009405345273,0.189901443640702,2.7718,3.2036,2.5713,3.2386,1.6551,1.2545,1.8791,1.1959,2.9324,2.9436,3.2744,2.3891,3.0983,3.3575,1.5219,1.486,1.1439,2.0156,1.352,1.0949
"81",0.00456474612309443,0.267016190577847,0.189901443640702,2.7783,3.1847,2.5851,3.2745,1.6536,1.2425,1.8574,1.2222,2.934,2.9142,3.2727,2.4099,3.1242,3.3445,1.512,1.508,1.1957,1.9956,1.3414,1.087
"8.110",0.00456474612309443,0.267016190577847,0.189901443640702,2.7783,3.1847,2.5851,3.2745,1.6536,1.2425,1.8574,1.2222,2.934,2.9142,3.2727,2.4099,3.1242,3.3445,1.512,1.508,1.1957,1.9956,1.3414,1.087
"8.210",0.00456474612309443,0.267016190577847,0.189901443640702,2.7783,3.1847,2.5851,3.2745,1.6536,1.2425,1.8574,1.2222,2.934,2.9142,3.2727,2.4099,3.1242,3.3445,1.512,1.508,1.1957,1.9956,1.3414,1.087
"9",0.00456474612309443,0.318254779752892,0.189901443640702,2.7526,3.2167,2.509,3.2368,1.6599,1.2224,1.8304,1.1936,2.9472,2.8733,3.2957,2.3904,3.1,3.366,1.4907,1.5045,1.1492,1.9812,1.3071,1.0573
"9.1",0.00456474612309443,0.318254779752892,0.189901443640702,2.7526,3.2167,2.509,3.2368,1.6599,1.2224,1.8304,1.1936,2.9472,2.8733,3.2957,2.3904,3.1,3.366,1.4907,1.5045,1.1492,1.9812,1.3071,1.0573
"9.2",0.00456474612309443,0.318254779752892,0.189901443640702,2.7526,3.2167,2.509,3.2368,1.6599,1.2224,1.8304,1.1936,2.9472,2.8733,3.2957,2.3904,3.1,3.366,1.4907,1.5045,1.1492,1.9812,1.3071,1.0573
"9.3",0.00456474612309443,0.318254779752892,0.189901443640702,2.7526,3.2167,2.509,3.2368,1.6599,1.2224,1.8304,1.1936,2.9472,2.8733,3.2957,2.3904,3.1,3.366,1.4907,1.5045,1.1492,1.9812,1.3071,1.0573
"10",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.1",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.2",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.3",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.4",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.5",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.6",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.7",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.8",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.9",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.10",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.11",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.12",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.13",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.14",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.15",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.16",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.17",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.18",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.19",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.20",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.21",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.22",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.23",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.24",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.25",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.26",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.27",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.28",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.29",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.30",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.31",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.32",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.33",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.34",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.35",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.36",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"10.37",0.00456474612309443,0.318254779752892,0.170300395833328,2.7606,3.1976,2.5114,3.2303,1.6731,1.2096,1.8633,1.2176,2.9507,2.9362,3.3192,2.4343,3.1022,3.3908,1.5164,1.5619,1.1694,1.9688,1.3159,1.0819
"11",0.00456474612309443,0.331203320025083,0.170300395833328,2.7875,3.2268,2.5831,3.2607,1.6893,1.2222,1.8714,1.225,2.9548,2.9634,3.2507,2.3898,3.0972,3.3873,1.5166,1.5019,1.1914,2.001,1.3737,1.097
"11.1",0.00456474612309443,0.331203320025083,0.170300395833328,2.7875,3.2268,2.5831,3.2607,1.6893,1.2222,1.8714,1.225,2.9548,2.9634,3.2507,2.3898,3.0972,3.3873,1.5166,1.5019,1.1914,2.001,1.3737,1.097
"11.2",0.00456474612309443,0.331203320025083,0.170300395833328,2.7875,3.2268,2.5831,3.2607,1.6893,1.2222,1.8714,1.225,2.9548,2.9634,3.2507,2.3898,3.0972,3.3873,1.5166,1.5019,1.1914,2.001,1.3737,1.097
"11.3",0.00456474612309443,0.331203320025083,0.170300395833328,2.7875,3.2268,2.5831,3.2607,1.6893,1.2222,1.8714,1.225,2.9548,2.9634,3.2507,2.3898,3.0972,3.3873,1.5166,1.5019,1.1914,2.001,1.3737,1.097
"11.4",0.00456474612309443,0.331203320025083,0.170300395833328,2.7875,3.2268,2.5831,3.2607,1.6893,1.2222,1.8714,1.225,2.9548,2.9634,3.2507,2.3898,3.0972,3.3873,1.5166,1.5019,1.1914,2.001,1.3737,1.097
