"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss"
"4.3",0.00467052497633736,0.379778424324468,0.091147671523504,2.7525,3.2568,2.5336,3.2346,1.6852,1.2351,1.8516,1.189,2.9478,2.9302,3.3494,2.4416,3.0572,3.3898,1.5112,1.5151,1.1826,2.0147,1.3577,1.0779
"4.4",0.00467052497633736,0.379778424324468,0.091147671523504,2.7525,3.2568,2.5336,3.2346,1.6852,1.2351,1.8516,1.189,2.9478,2.9302,3.3494,2.4416,3.0572,3.3898,1.5112,1.5151,1.1826,2.0147,1.3577,1.0779
"4.5",0.00467052497633736,0.379778424324468,0.091147671523504,2.7525,3.2568,2.5336,3.2346,1.6852,1.2351,1.8516,1.189,2.9478,2.9302,3.3494,2.4416,3.0572,3.3898,1.5112,1.5151,1.1826,2.0147,1.3577,1.0779
"4.6",0.00467052497633736,0.379778424324468,0.091147671523504,2.7525,3.2568,2.5336,3.2346,1.6852,1.2351,1.8516,1.189,2.9478,2.9302,3.3494,2.4416,3.0572,3.3898,1.5112,1.5151,1.1826,2.0147,1.3577,1.0779
"4.7",0.00467052497633736,0.379778424324468,0.091147671523504,2.7525,3.2568,2.5336,3.2346,1.6852,1.2351,1.8516,1.189,2.9478,2.9302,3.3494,2.4416,3.0572,3.3898,1.5112,1.5151,1.1826,2.0147,1.3577,1.0779
"4.8",0.00467052497633736,0.379778424324468,0.091147671523504,2.7525,3.2568,2.5336,3.2346,1.6852,1.2351,1.8516,1.189,2.9478,2.9302,3.3494,2.4416,3.0572,3.3898,1.5112,1.5151,1.1826,2.0147,1.3577,1.0779
"4.9",0.00467052497633736,0.379778424324468,0.091147671523504,2.7525,3.2568,2.5336,3.2346,1.6852,1.2351,1.8516,1.189,2.9478,2.9302,3.3494,2.4416,3.0572,3.3898,1.5112,1.5151,1.1826,2.0147,1.3577,1.0779
"4.10",0.00467052497633736,0.379778424324468,0.091147671523504,2.7525,3.2568,2.5336,3.2346,1.6852,1.2351,1.8516,1.189,2.9478,2.9302,3.3494,2.4416,3.0572,3.3898,1.5112,1.5151,1.1826,2.0147,1.3577,1.0779
"5",0.00467052497633736,0.317312127072364,0.091147671523504,2.807,3.2041,2.5324,3.2369,1.608,1.1993,1.8679,1.2343,2.9516,2.9714,3.2852,2.3958,3.0747,3.3882,1.4953,1.509,1.1817,1.9641,1.3055,1.0707
"5.1",0.00467052497633736,0.317312127072364,0.091147671523504,2.807,3.2041,2.5324,3.2369,1.608,1.1993,1.8679,1.2343,2.9516,2.9714,3.2852,2.3958,3.0747,3.3882,1.4953,1.509,1.1817,1.9641,1.3055,1.0707
"5.2",0.00467052497633736,0.317312127072364,0.091147671523504,2.807,3.2041,2.5324,3.2369,1.608,1.1993,1.8679,1.2343,2.9516,2.9714,3.2852,2.3958,3.0747,3.3882,1.4953,1.509,1.1817,1.9641,1.3055,1.0707
"5.3",0.00467052497633736,0.317312127072364,0.091147671523504,2.807,3.2041,2.5324,3.2369,1.608,1.1993,1.8679,1.2343,2.9516,2.9714,3.2852,2.3958,3.0747,3.3882,1.4953,1.509,1.1817,1.9641,1.3055,1.0707
"6",0.00467052497633736,0.317312127072364,0.0593195267952979,2.7849,3.2447,2.5302,3.2092,1.6822,1.1992,1.8552,1.2029,2.9017,2.9496,3.2577,2.4032,3.1289,3.383,1.5004,1.5045,1.1473,1.988,1.3395,1.0988
"6.1",0.00467052497633736,0.317312127072364,0.0593195267952979,2.7849,3.2447,2.5302,3.2092,1.6822,1.1992,1.8552,1.2029,2.9017,2.9496,3.2577,2.4032,3.1289,3.383,1.5004,1.5045,1.1473,1.988,1.3395,1.0988
"6.2",0.00467052497633736,0.317312127072364,0.0593195267952979,2.7849,3.2447,2.5302,3.2092,1.6822,1.1992,1.8552,1.2029,2.9017,2.9496,3.2577,2.4032,3.1289,3.383,1.5004,1.5045,1.1473,1.988,1.3395,1.0988
"6.3",0.00467052497633736,0.317312127072364,0.0593195267952979,2.7849,3.2447,2.5302,3.2092,1.6822,1.1992,1.8552,1.2029,2.9017,2.9496,3.2577,2.4032,3.1289,3.383,1.5004,1.5045,1.1473,1.988,1.3395,1.0988
"6.4",0.00467052497633736,0.317312127072364,0.0593195267952979,2.7849,3.2447,2.5302,3.2092,1.6822,1.1992,1.8552,1.2029,2.9017,2.9496,3.2577,2.4032,3.1289,3.383,1.5004,1.5045,1.1473,1.988,1.3395,1.0988
"7",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.1",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.2",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.3",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.4",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.5",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.6",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.7",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.8",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.9",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.10",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"7.11",0.0003280984827746,0.317312127072364,0.0593195267952979,2.743,3.1903,2.5603,3.2497,1.6032,1.2491,1.806,1.2126,2.931,2.9308,3.2799,2.407,3.1375,3.4105,1.5252,1.5823,1.1537,2.018,1.3065,1.055
"8",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.1",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
